time,sex,classif1,classif2,obs_value,age_extracted
2002,Sex: Male,"Age (Youth, adults): 25+",nan,5942.171,"(25, None)"
2002,Sex: Female,"Age (Youth, adults): 15+",nan,8454.17,"(15, None)"
2002,Sex: Female,"Age (Youth, adults): 15-24",nan,2402.364,"(15, 24)"
2002,Sex: Female,"Age (Youth, adults): 25+",nan,6051.806,"(25, None)"
2002,Sex: Male,Age (Aggregate bands): 15-24,nan,2482.617,"(15, 24)"
2002,Sex: Female,Age (Aggregate bands): 15-24,nan,2402.364,"(15, 24)"
2001,Sex: Male,"Age (Youth, adults): 15+",nan,8202.208,"(15, None)"
2001,Sex: Male,"Age (Youth, adults): 15-24",nan,2438.83,"(15, 24)"
2001,Sex: Male,"Age (Youth, adults): 25+",nan,5763.378,"(25, None)"
2001,Sex: Female,"Age (Youth, adults): 15+",nan,8230.267,"(15, None)"
2001,Sex: Female,"Age (Youth, adults): 15-24",nan,2359.655,"(15, 24)"
2001,Sex: Female,"Age (Youth, adults): 25+",nan,5870.612,"(25, None)"
2001,Sex: Male,Age (Aggregate bands): 15-24,nan,2438.83,"(15, 24)"
2001,Sex: Female,Age (Aggregate bands): 15-24,nan,2359.655,"(15, 24)"
2000,Sex: Male,"Age (Youth, adults): 15+",nan,7927.667,"(15, None)"
2000,Sex: Female,"Age (Youth, adults): 15+",nan,7949.083,"(15, None)"
1999,Sex: Male,"Age (Youth, adults): 15+",nan,7719.583,"(15, None)"
1999,Sex: Female,"Age (Youth, adults): 15+",nan,7737.833,"(15, None)"
1998,Sex: Male,"Age (Youth, adults): 15+",nan,7569.63,"(15, None)"
1998,Sex: Male,"Age (Youth, adults): 15-24",nan,2294.53,"(15, 24)"
1998,Sex: Male,"Age (Youth, adults): 25+",nan,5275.1,"(25, None)"
1998,Sex: Female,"Age (Youth, adults): 15+",nan,7583.21,"(15, None)"
1998,Sex: Female,"Age (Youth, adults): 15-24",nan,2220.42,"(15, 24)"
1998,Sex: Female,"Age (Youth, adults): 25+",nan,5362.79,"(25, None)"
1997,Sex: Male,"Age (Youth, adults): 15+",nan,7370.395,"(15, None)"
1997,Sex: Male,"Age (Youth, adults): 15-24",nan,2241.516,"(15, 24)"
1997,Sex: Male,"Age (Youth, adults): 25+",nan,5128.879,"(25, None)"
1997,Sex: Female,"Age (Youth, adults): 15+",nan,7380.492,"(15, None)"
1997,Sex: Female,"Age (Youth, adults): 15-24",nan,2169.52,"(15, 24)"
1997,Sex: Female,"Age (Youth, adults): 25+",nan,5210.972,"(25, None)"
1997,Sex: Male,Age (Aggregate bands): 15-24,nan,2241.516,"(15, 24)"
1997,Sex: Female,Age (Aggregate bands): 15-24,nan,2169.52,"(15, 24)"
1996,Sex: Male,"Age (Youth, adults): 15+",nan,7172.64,"(15, None)"
1996,Sex: Male,"Age (Youth, adults): 15-24",nan,2188.47,"(15, 24)"
