time,obs_value,Sex,Age (Youth bands),Education (Aggregate levels)
2010,, Female, 25-29, Level not stated
2009,4099.448, Total, 15-29, Total
2009,65.98, Total, 15-29, Less than basic
2009,2792.228, Total, 15-29, Basic
2009,1238.691, Total, 15-29, Advanced
2009,2.549, Total, 15-29, Level not stated
2009,665.035, Total, 15-19, Total
2009,15.302, Total, 15-19, Less than basic
2009,580.29, Total, 15-19, Basic
2009,69.37, Total, 15-19, Advanced
2009,, Total, 15-19, Level not stated
2009,1603.358, Total, 20-24, Total
2009,20.203, Total, 20-24, Less than basic
2009,1073.257, Total, 20-24, Basic
2009,509.284, Total, 20-24, Advanced
2009,0.614, Total, 20-24, Level not stated
2009,1831.054, Total, 25-29, Total
2009,30.474, Total, 25-29, Less than basic
2009,1138.679, Total, 25-29, Basic
2009,660.038, Total, 25-29, Advanced
2009,1.862, Total, 25-29, Level not stated
2009,2583.886, Male, 15-29, Total
2009,54.657, Male, 15-29, Less than basic
2009,1988.929, Male, 15-29, Basic
2009,537.989, Male, 15-29, Advanced
2009,2.311, Male, 15-29, Level not stated
2009,464.104, Male, 15-19, Total
2009,12.83, Male, 15-19, Less than basic
2009,421.04, Male, 15-19, Basic
2009,30.161, Male, 15-19, Advanced
2009,, Male, 15-19, Level not stated
2009,1024.144, Male, 20-24, Total
2009,16.067, Male, 20-24, Less than basic
2009,777.381, Male, 20-24, Basic
2009,230.149, Male, 20-24, Advanced
2009,0.546, Male, 20-24, Level not stated
2009,1095.639, Male, 25-29, Total
2009,25.759, Male, 25-29, Less than basic
2009,790.508, Male, 25-29, Basic
2009,277.679, Male, 25-29, Advanced
2009,1.692, Male, 25-29, Level not stated
2009,1515.562, Female, 15-29, Total
2009,11.323, Female, 15-29, Less than basic
2009,803.298, Female, 15-29, Basic
2009,700.702, Female, 15-29, Advanced
2009,0.238, Female, 15-29, Level not stated
2009,200.932, Female, 15-19, Total
2009,2.473, Female, 15-19, Less than basic
2009,159.25, Female, 15-19, Basic
2009,39.209, Female, 15-19, Advanced
2009,, Female, 15-19, Level not stated
2009,579.214, Female, 20-24, Total
2009,4.136, Female, 20-24, Less than basic
2009,295.877, Female, 20-24, Basic
2009,279.134, Female, 20-24, Advanced
2009,, Female, 20-24, Level not stated
2009,735.416, Female, 25-29, Total
2009,4.715, Female, 25-29, Less than basic
2009,348.172, Female, 25-29, Basic
2009,382.359, Female, 25-29, Advanced
2009,, Female, 25-29, Level not stated
2008,4117.215, Total, 15-29, Total
2008,60.737, Total, 15-29, Less than basic
2008,2905.314, Total, 15-29, Basic
2008,1142.678, Total, 15-29, Advanced
2008,8.486, Total, 15-29, Level not stated
2008,690.942, Total, 15-19, Total
2008,14.583, Total, 15-19, Less than basic
2008,609.504, Total, 15-19, Basic
2008,65.998, Total, 15-19, Advanced
2008,0.858, Total, 15-19, Level not stated
2008,1612.822, Total, 20-24, Total
2008,20.704, Total, 20-24, Less than basic
2008,1113.233, Total, 20-24, Basic
2008,476.005, Total, 20-24, Advanced
2008,2.879, Total, 20-24, Level not stated
2008,1813.451, Total, 25-29, Total
2008,25.45, Total, 25-29, Less than basic
2008,1182.578, Total, 25-29, Basic
2008,600.675, Total, 25-29, Advanced
2008,4.75, Total, 25-29, Level not stated
2008,2605.545, Male, 15-29, Total
2008,50.817, Male, 15-29, Less than basic
2008,2056.265, Male, 15-29, Basic
2008,491.952, Male, 15-29, Advanced
2008,6.512, Male, 15-29, Level not stated
2008,488.178, Male, 15-19, Total
2008,12.566, Male, 15-19, Less than basic
2008,443.431, Male, 15-19, Basic
2008,31.5, Male, 15-19, Advanced
2008,0.681, Male, 15-19, Level not stated
2008,1022.068, Male, 20-24, Total
2008,17.892, Male, 20-24, Less than basic
2008,795.787, Male, 20-24, Basic
2008,205.952, Male, 20-24, Advanced
2008,2.438, Male, 20-24, Level not stated
2008,1095.299, Male, 25-29, Total
2008,20.359, Male, 25-29, Less than basic
2008,817.047, Male, 25-29, Basic
2008,254.499, Male, 25-29, Advanced
2008,3.394, Male, 25-29, Level not stated
2008,1511.67, Female, 15-29, Total
2008,9.92, Female, 15-29, Less than basic
2008,849.05, Female, 15-29, Basic
2008,650.726, Female, 15-29, Advanced
2008,1.974, Female, 15-29, Level not stated
2008,202.763, Female, 15-19, Total
2008,2.017, Female, 15-19, Less than basic
2008,166.072, Female, 15-19, Basic
2008,34.498, Female, 15-19, Advanced
2008,, Female, 15-19, Level not stated
2008,590.754, Female, 20-24, Total
2008,2.813, Female, 20-24, Less than basic
2008,317.446, Female, 20-24, Basic
2008,270.052, Female, 20-24, Advanced
2008,0.442, Female, 20-24, Level not stated
2008,718.153, Female, 25-29, Total
2008,5.09, Female, 25-29, Less than basic
2008,365.531, Female, 25-29, Basic
2008,346.176, Female, 25-29, Advanced
2008,1.356, Female, 25-29, Level not stated
2007,4102.948, Total, 15-29, Total
2007,64.918, Total, 15-29, Less than basic
2007,2984.415, Total, 15-29, Basic
2007,, Total, 15-29, Intermediate
2007,1043.687, Total, 15-29, Advanced
2007,9.847, Total, 15-29, Level not stated
2007,725.25, Total, 15-19, Total
2007,14.209, Total, 15-19, Less than basic
2007,651.388, Total, 15-19, Basic
2007,, Total, 15-19, Intermediate
